time [s]    Te [K]    Ta [K]    Energ_dens_at    energ_dens_e    n [m^-3]    Etot [m^-2]
 0.1000E-16    300.001    300.000       0.162      0.000     0.10000036E+17    12583.602180371
 0.1000E-13    300.291    300.000       0.162      0.000     0.10043029E+17    12583.602180371
 0.2000E-13    300.683    300.000       0.162      0.000     0.10102906E+17    12583.602180371
 0.3000E-13    301.215    300.000       0.162      0.000     0.10186044E+17    12583.602180371
 0.4000E-13    301.941    300.000       0.162      0.000     0.10301223E+17    12583.602180371
 0.5000E-13    302.933    300.000       0.162      0.000     0.10460441E+17    12583.602180371
 0.6000E-13    304.287    300.000       0.162      0.000     0.10680045E+17    12583.602180371
 0.7000E-13    306.135    300.000       0.162      0.000     0.10982270E+17    12583.602180371
 0.8000E-13    308.654    300.000       0.162      0.000     0.11397277E+17    12583.602180371
 0.9000E-13    312.077    300.000       0.162      0.000     0.11965891E+17    12583.602180371
 0.1000E-12    316.712    300.000       0.162      0.000     0.12743242E+17    12583.602180371
 0.1100E-12    322.965    300.000       0.162      0.000     0.13803601E+17    12583.602180372
 0.1200E-12    331.355    300.000       0.162      0.000     0.15246799E+17    12583.602180372
 0.1300E-12    342.541    300.000       0.162      0.000     0.17206707E+17    12583.602180373
 0.1400E-12    357.338    300.000       0.162      0.000     0.19862426E+17    12583.602180373
 0.1500E-12    376.723    300.000       0.162      0.000     0.23453012E+17    12583.602180374
 0.1600E-12    401.814    300.000       0.162      0.000     0.28296800E+17    12583.602180375
 0.1700E-12    433.809    300.000       0.162      0.000     0.34816711E+17    12583.602180377
 0.1800E-12    473.870    300.000       0.162      0.000     0.43573293E+17    12583.602180379
 0.1900E-12    522.933    300.000       0.162      0.000     0.55307780E+17    12583.602180382
 0.2000E-12    581.455    300.000       0.162      0.000     0.70998036E+17    12583.602180386
 0.2100E-12    649.145    300.000       0.162      0.000     0.91931079E+17    12583.602180392
 0.2200E-12    724.755    300.000       0.162      0.000     0.11979686E+18    12583.602180399
 0.2300E-12    806.036    300.000       0.162      0.000     0.15680919E+18    12583.602180408
 0.2400E-12    889.936    300.000       0.162      0.000     0.20586139E+18    12583.602180421
 0.2500E-12    973.028    300.000       0.162      0.000     0.27072590E+18    12583.602180437
 0.2600E-12   1052.048    300.000       0.162      0.000     0.35630996E+18    12583.602180459
 0.2700E-12   1124.376    300.000       0.162      0.000     0.46898186E+18    12583.602180487
 0.2800E-12   1188.315    300.000       0.162      0.000     0.61698658E+18    12583.602180525
 0.2900E-12   1243.135    300.000       0.162      0.000     0.81097364E+18    12583.602180574
 0.3000E-12   1288.920    300.000       0.162      0.000     0.10646659E+19    12583.602180639
 0.3100E-12   1326.324    300.000       0.162      0.000     0.13957047E+19    12583.602180723
 0.3200E-12   1356.325    300.000       0.162      0.000     0.18267152E+19    12583.602180832
 0.3300E-12   1380.022    300.000       0.162      0.000     0.23866455E+19    12583.602180974
