     0.100000000000E-04    -0.201108123454E+02    -0.213272076654E+02    -0.201108895444E+02    -0.201108123454E+02    -0.213272848811E+02    -0.213272076654E+02
     0.100000000000E-02    -0.201036594526E+02    -0.213200547720E+02    -0.201146091792E+02    -0.201036594526E+02    -0.213310044876E+02    -0.213200547720E+02
     0.200000000000E-02    -0.200962985677E+02    -0.213126938794E+02    -0.201184952853E+02    -0.200962985677E+02    -0.213348906016E+02    -0.213126938794E+02
     0.300000000000E-02    -0.200887895912E+02    -0.213051849063E+02    -0.201224836192E+02    -0.200887895912E+02    -0.213388789654E+02    -0.213051849063E+02
     0.400000000000E-02    -0.200811328559E+02    -0.212975281804E+02    -0.201265757594E+02    -0.200811328559E+02    -0.213429710622E+02    -0.212975281804E+02
     0.500000000000E-02    -0.200733288331E+02    -0.212897241351E+02    -0.201307739113E+02    -0.200733288331E+02    -0.213471692663E+02    -0.212897241351E+02
     0.600000000000E-02    -0.200653780765E+02    -0.212817734283E+02    -0.201350806968E+02    -0.200653780765E+02    -0.213514760315E+02    -0.212817734283E+02
     0.700000000000E-02    -0.200572814350E+02    -0.212736767357E+02    -0.201394986501E+02    -0.200572814350E+02    -0.213558939887E+02    -0.212736767357E+02
     0.800000000000E-02    -0.200490397425E+02    -0.212654350404E+02    -0.201440304805E+02    -0.200490397425E+02    -0.213604258317E+02    -0.212654350404E+02
     0.900000000000E-02    -0.200406540824E+02    -0.212570494255E+02    -0.201486789756E+02    -0.200406540824E+02    -0.213650742774E+02    -0.212570494255E+02
     0.100000000000E-01    -0.200321257652E+02    -0.212485210774E+02    -0.201534468161E+02    -0.200321257652E+02    -0.213698421452E+02    -0.212485210774E+02
     0.110000000000E-01    -0.200234561205E+02    -0.212398514610E+02    -0.201583368493E+02    -0.200234561205E+02    -0.213747321984E+02    -0.212398514610E+02
     0.120000000000E-01    -0.200146467838E+02    -0.212310421223E+02    -0.201633519258E+02    -0.200146467838E+02    -0.213797472533E+02    -0.212310421223E+02
     0.130000000000E-01    -0.200056995006E+02    -0.212220948072E+02    -0.201684948782E+02    -0.200056995006E+02    -0.213848901834E+02    -0.212220948072E+02
     0.140000000000E-01    -0.199966161294E+02    -0.212130114850E+02    -0.201737685786E+02    -0.199966161294E+02    -0.213901639172E+02    -0.212130114850E+02
     0.150000000000E-01    -0.199873988646E+02    -0.212037941759E+02    -0.201791759420E+02    -0.199873988646E+02    -0.213955712972E+02    -0.212037941759E+02
     0.160000000000E-01    -0.199780498786E+02    -0.211944451896E+02    -0.201847199128E+02    -0.199780498786E+02    -0.214011152676E+02    -0.211944451896E+02
     0.170000000000E-01    -0.199685715964E+02    -0.211849669501E+02    -0.201904034279E+02    -0.199685715964E+02    -0.214067987217E+02    -0.211849669501E+02
     0.180000000000E-01    -0.199589666872E+02    -0.211753619977E+02    -0.201962293620E+02    -0.199589666872E+02    -0.214126247179E+02    -0.211753619977E+02
     0.190000000000E-01    -0.199492377954E+02    -0.211656331430E+02    -0.202022007481E+02    -0.199492377954E+02    -0.214185960870E+02    -0.211656331430E+02
     0.200000000000E-01    -0.199393878972E+02    -0.211557832557E+02    -0.202083205003E+02    -0.199393878972E+02    -0.214247158543E+02    -0.211557832557E+02
     0.210000000000E-01    -0.199294200808E+02    -0.211458154246E+02    -0.202145916103E+02    -0.199294200808E+02    -0.214309869081E+02    -0.211458154246E+02
     0.220000000000E-01    -0.199193375461E+02    -0.211357328503E+02    -0.202210169680E+02    -0.199193375461E+02    -0.214374123240E+02    -0.211357328503E+02
     0.230000000000E-01    -0.199091436070E+02    -0.211255389668E+02    -0.202275995849E+02    -0.199091436070E+02    -0.214439949452E+02    -0.211255389668E+02
     0.240000000000E-01    -0.198988418994E+02    -0.211152372128E+02    -0.202343423912E+02    -0.198988418994E+02    -0.214507377054E+02    -0.211152372128E+02
     0.250000000000E-01    -0.198884359919E+02    -0.211048312906E+02    -0.202412482778E+02    -0.198884359919E+02    -0.214576436161E+02    -0.211048312906E+02
     0.260000000000E-01    -0.198779296833E+02    -0.210943250008E+02    -0.202483201548E+02    -0.198779296833E+02    -0.214647154761E+02    -0.210943250008E+02
     0.270000000000E-01    -0.198673268832E+02    -0.210837222395E+02    -0.202555608606E+02    -0.198673268832E+02    -0.214719562015E+02    -0.210837222395E+02
     0.280000000000E-01    -0.198566316923E+02    -0.210730269955E+02    -0.202629733134E+02    -0.198566316923E+02    -0.214793686174E+02    -0.210730269955E+02
     0.290000000000E-01    -0.198458481428E+02    -0.210622434929E+02    -0.202705602323E+02    -0.198458481428E+02    -0.214869555740E+02    -0.210622434929E+02
     0.300000000000E-01    -0.198349805699E+02    -0.210513759036E+02    -0.202783244415E+02    -0.198349805699E+02    -0.214947197618E+02    -0.210513759036E+02
     0.310000000000E-01    -0.198240332843E+02    -0.210404286004E+02    -0.202862686612E+02    -0.198240332843E+02    -0.215026639820E+02    -0.210404286004E+02
     0.320000000000E-01    -0.198130106977E+02    -0.210294060213E+02    -0.202943955228E+02    -0.198130106977E+02    -0.215107908169E+02    -0.210294060213E+02
     0.330000000000E-01    -0.198019173081E+02    -0.210183126627E+02    -0.203027076321E+02    -0.198019173081E+02    -0.215191029397E+02    -0.210183126627E+02
     0.340000000000E-01    -0.197907577427E+02    -0.210071530734E+02    -0.203112075213E+02    -0.197907577427E+02    -0.215276028806E+02    -0.210071530734E+02
     0.350000000000E-01    -0.197795365642E+02    -0.209959318624E+02    -0.203198977504E+02    -0.197795365642E+02    -0.215362930883E+02    -0.209959318624E+02
