 #time (ps),    coordinate (mkm),    electron temperature (K), lattice temperature (K), carriers density (1e26 1/m^3)
     0.100000000000E-04     0.000000000000E+00     0.300020965438E+03     0.300000000000E+03     0.100010886268E-09
     0.100000000000E-04     0.125786163522E+00     0.300020939448E+03     0.300000000000E+03     0.100009910667E-09
     0.100000000000E-04     0.251572327044E+00     0.300020866903E+03     0.300000000000E+03     0.100008727735E-09
     0.100000000000E-04     0.377358490566E+00     0.300020754365E+03     0.300000000000E+03     0.100007685998E-09
     0.100000000000E-04     0.503144654088E+00     0.300020607592E+03     0.300000000000E+03     0.100006768602E-09
     0.100000000000E-04     0.628930817610E+00     0.300020431634E+03     0.300000000000E+03     0.100005960705E-09
     0.100000000000E-04     0.754716981132E+00     0.300020230922E+03     0.300000000000E+03     0.100005249239E-09
     0.100000000000E-04     0.880503144654E+00     0.300020009336E+03     0.300000000000E+03     0.100004622693E-09
     0.100000000000E-04     0.100628930818E+01     0.300019770276E+03     0.300000000000E+03     0.100004070931E-09
     0.100000000000E-04     0.113207547170E+01     0.300019516717E+03     0.300000000000E+03     0.100003585027E-09
     0.100000000000E-04     0.125786163522E+01     0.300019251261E+03     0.300000000000E+03     0.100003157121E-09
     0.100000000000E-04     0.138364779874E+01     0.300018976183E+03     0.300000000000E+03     0.100002780288E-09
     0.100000000000E-04     0.150943396226E+01     0.300018693469E+03     0.300000000000E+03     0.100002448435E-09
     0.100000000000E-04     0.163522012579E+01     0.300018404850E+03     0.300000000000E+03     0.100002156191E-09
     0.100000000000E-04     0.176100628931E+01     0.300018111836E+03     0.300000000000E+03     0.100001898829E-09
     0.100000000000E-04     0.188679245283E+01     0.300017815740E+03     0.300000000000E+03     0.100001672186E-09
     0.100000000000E-04     0.201257861635E+01     0.300017517701E+03     0.300000000000E+03     0.100001472595E-09
     0.100000000000E-04     0.213836477987E+01     0.300017218708E+03     0.300000000000E+03     0.100001296827E-09
     0.100000000000E-04     0.226415094340E+01     0.300016919617E+03     0.300000000000E+03     0.100001142039E-09
     0.100000000000E-04     0.238993710692E+01     0.300016621167E+03     0.300000000000E+03     0.100001005725E-09
     0.100000000000E-04     0.251572327044E+01     0.300016323994E+03     0.300000000000E+03     0.100000885683E-09
     0.100000000000E-04     0.264150943396E+01     0.300016028642E+03     0.300000000000E+03     0.100000779968E-09
     0.100000000000E-04     0.276729559748E+01     0.300015735580E+03     0.300000000000E+03     0.100000686872E-09
     0.100000000000E-04     0.289308176101E+01     0.300015445205E+03     0.300000000000E+03     0.100000604887E-09
     0.100000000000E-04     0.301886792453E+01     0.300015157853E+03     0.300000000000E+03     0.100000532688E-09
     0.100000000000E-04     0.314465408805E+01     0.300014873807E+03     0.300000000000E+03     0.100000469107E-09
     0.100000000000E-04     0.327044025157E+01     0.300014593305E+03     0.300000000000E+03     0.100000413114E-09
     0.100000000000E-04     0.339622641509E+01     0.300014316542E+03     0.300000000000E+03     0.100000363805E-09
     0.100000000000E-04     0.352201257862E+01     0.300014043678E+03     0.300000000000E+03     0.100000320382E-09
     0.100000000000E-04     0.364779874214E+01     0.300013774843E+03     0.300000000000E+03     0.100000282141E-09
     0.100000000000E-04     0.377358490566E+01     0.300013510137E+03     0.300000000000E+03     0.100000248465E-09
     0.100000000000E-04     0.389937106918E+01     0.300013249640E+03     0.300000000000E+03     0.100000218808E-09
     0.100000000000E-04     0.402515723270E+01     0.300012993409E+03     0.300000000000E+03     0.100000192691E-09
     0.100000000000E-04     0.415094339623E+01     0.300012741483E+03     0.300000000000E+03     0.100000169692E-09
     0.100000000000E-04     0.427672955975E+01     0.300012493886E+03     0.300000000000E+03     0.100000149438E-09
     0.100000000000E-04     0.440251572327E+01     0.300012250628E+03     0.300000000000E+03     0.100000131601E-09
     0.100000000000E-04     0.452830188679E+01     0.300012011708E+03     0.300000000000E+03     0.100000115893E-09
     0.100000000000E-04     0.465408805031E+01     0.300011777115E+03     0.300000000000E+03     0.100000102060E-09
     0.100000000000E-04     0.477987421384E+01     0.300011546829E+03     0.300000000000E+03     0.100000089878E-09
     0.100000000000E-04     0.490566037736E+01     0.300011320821E+03     0.300000000000E+03     0.100000079150E-09
     0.100000000000E-04     0.503144654088E+01     0.300011099060E+03     0.300000000000E+03     0.100000069703E-09
     0.100000000000E-04     0.515723270440E+01     0.300010881504E+03     0.300000000000E+03     0.100000061383E-09
     0.100000000000E-04     0.528301886792E+01     0.300010668111E+03     0.300000000000E+03     0.100000054057E-09
     0.100000000000E-04     0.540880503145E+01     0.300010458834E+03     0.300000000000E+03     0.100000047605E-09
     0.100000000000E-04     0.553459119497E+01     0.300010253620E+03     0.300000000000E+03     0.100000041922E-09
     0.100000000000E-04     0.566037735849E+01     0.300010052418E+03     0.300000000000E+03     0.100000036919E-09
     0.100000000000E-04     0.578616352201E+01     0.300009855172E+03     0.300000000000E+03     0.100000032512E-09
     0.100000000000E-04     0.591194968553E+01     0.300009661824E+03     0.300000000000E+03     0.100000028631E-09
     0.100000000000E-04     0.603773584906E+01     0.300009472316E+03     0.300000000000E+03     0.100000025214E-09
     0.100000000000E-04     0.616352201258E+01     0.300009286590E+03     0.300000000000E+03     0.100000022204E-09
     0.100000000000E-04     0.628930817610E+01     0.300009104584E+03     0.300000000000E+03     0.100000019554E-09
     0.100000000000E-04     0.641509433962E+01     0.300008926238E+03     0.300000000000E+03     0.100000017220E-09
     0.100000000000E-04     0.654088050314E+01     0.300008751491E+03     0.300000000000E+03     0.100000015165E-09
